Number of Star,Review
"I’m a mostly earbud user. Lately I’ve had the Sony XM3’s  and I’ve just gotten some Jabra 75T’s. A little background, I’m in the electrical  line industry. That means a ton of traveling, a lot of living in loud hotels, and not a lot of isolation. I loved the Sony earbuds ANC, but hated the lack of water resistance. In my industry we’re working in the rain, so I had to switch to the Jabras, which means I required a set of ANC headphones. Now let’s get to the Sennheisers! -The case sucks. You’re most likely going to be traveling with these, and a soft case is a no-go. I bought a separate hard case for them on amazon, problem solved, just something to be aware of. If you’re not traveling a lot, the case should be fine. -the sound is insane. Crystal clear, bass is plenty FOR MOST but I’m beyond impressed. I just got them but I’ve played six genres already and they all sounded great. -Coming from the Sony Earbuds, the ANC is really good, but if you’re someone whose had top of the line ANC headphones in the past, I’m not sure how it would stack up. I did notice that the Sony 1000 series over the war set did have better ANC than these, though these will drown out plenty. -Aesthetically, these look better than 95% of the market in my eyes. Also the earcups feel comfortable and luxurious. -Price: they are worth it. -The app is not as good as Sony’s but the EQ is simple enough to play with and it’s easy to get to what you want. -I prefer hard buttons over touch controls, especially at the gym, so this works for me. If you want touch controls, Sony is your place. -battery life is good if you’re coming from earbuds, but bad if you’ve been rocking wireless over the ear sets. Me personally, I’m cool with it, but that’s because I have the jabra’s to pick up the slack If need be. So all in all, I’m feeling pretty great about the sennheisers. Get a hard shell case and you’ll have a great set of ANC headphones!",5
"Even though I love music and have several pair of headphones, I probably fall short of being called an audiophile as I don’t know most of the technical terms related to headphones. So here’s my decidedly layman’s review: Received these today. Been listening to these off-and-on since. Even compared them to three of my other headphones (Beats Studio Wireless, Beats Studio Wired, and B&O H4 Wireless). This certainly outperforms all three (plus my Wireless Parrots) in almost and maybe every way. So far, I can confidently say these are the best headphones I’ve ever owned. Sound - best sounding headphones I’ve ever owned with the most accuracy of sound. I used to really like headphones that emphasized the bass (thus the previous Bests headphones), but now I lean toward more accuracy of sound. The bass is still there, but it’s not overpowering. ANC - these are the first headphones I’ve owned where I think I actually prefer to listen in Noise Cancelling mode. Usually I find ANC to flatten the sound, but here I find it actually results in slightly more depth and breadth of the sound field. So far, I seem to gravitate to the Anti-Wind setting which equates to the medium ANC setting. Battery Life - they arrived out of the box with 20% battery life. After playing with them a bit, I decided I better get them to a full charge. Probably because I kept checking on them, it seemed like they might not ever get past 60%, but after leaving them alone longer they reached 100%. They dipped down to 80% earlier but another charge and they were pretty quickly back to 100%. So far, much better than my Parrots which had the worst battery life of any wireless headphones I’ve ever owned. I also like that by pressing the middle button on the right cup, it verbally tells you the remaining battery life. In addition, you can see the battery life on the app on your phone as well as on the battery section on your iPhone itself. Been listening you them over an hour since last full charge and they’re still at 100%. Controls - I find them pretty intuitive. Phone paired pretty easily with my iPhone. It took a little more persistence to pair it with the Bluetooth adapter attached to my old school home stereo system, but that probably has more to do with my adapter and my own learning curve (adapter is new too). The top button is for turning ANC on or off as well turning Transparent Hearing on or off. So far, I like ANC on and Transparent Hearing turned off. That may change once I can travel (fly) for work again. Apps - the primary app is pretty cool. There are three ANC settings - Max, Anti Wind (medium), and Anti Pressure (low).  So far, I find I like the aural soundscape of Anti Wind the best. It also tells you if you have Transparent Hearing turned on or off. You can also turn TH on/off via the app. There also is an equalizer but as opposed to my B&Os, so far I find I find I like it better if I leave it alone. As noted above it also tells you your remaining battery life. There is also a separate Tile app available you can use to locate your headphones. Through the app, you can see how close you are to your headphones as well “find” them by causing them to vibrate and emit a signal. Useful for sure, but I wish they emitted a louder sound. Not sure I’d hear them if there was any other sound around like in a loud airport. A little about how I’ve used them today and what I’ve listened to: Listened to a lot of Madonna today. Ray of Light album was first thing I tried out via my iPhone (Apple Music) as it has a pretty ambient soundscape. I wasn’t quite as blown away as I had hoped, but headphones did a very good job. This might be one where tampering with equalizer might be useful. I also listened to soundtrack for movie W.E.  Wow. Sounded just phenomenal. Also listened to Sinead O’Connor’s Lion and the Cobra on vinyl via Bluetooth adapter connected to old school sound system. Overall, it did a good job given I was listening via pieced together technology. I’ll probably go back to just listening to vinyl on speakers, but still need to try it out with CD player. After, I did listen to Sinead’s I Want Your (Hands on Me) on my iPhone (Apple Music) and it sounded great although I did detect a bit of white noise hiss, but I attribute that more to it being an analog recording that likely hasn’t been digitally remastered. Also, some Ben Platt (also Apple Music on iPhone). Sounds great. Now listening to Madonna Madame X (Apple Music on iPhone). Sounds pretty phenomenal  and I’m finding it a bit of fun to tamper with the equalizer on this one. Also, since I have an iPhone, I didn’t bother messing with setting up Alexa as my assistant. I’ll stick with Siri. For three years, I’ve known my next headphones would probably either be Sennheiser or Master & Dynamic. After doing a lot of research again recently before purchasing these, I think I made the right choice. Update: Day 2 Woke up late this morning and grabbed my headphones which have been charging overnight. Soon as I put them on, they automatically paired with my iPhone and started playing Lucky Star which I had started before I went to bed last night. I listened to rest of Madonna’s debut album as well. Her debut isn’t the most aurally nuanced (which is one of its charms). I’ve also listened to this album a ton since it came out in 1983 so wasn’t expecting any major surprises. However, I noticed certain elements that haven’t been as prominent to me before like certain percussion elements (Borderline) or saxophone riffs (I Know It) or synthesizer flourishes (Holiday/Think of Me). I do notice the headphones being a little more “touchy” as far as turning off/pausing if I touch them or turn so one of the cups touches a pillow. Not too annoying though. Just tried to recreate making it pause with those same motions and it didn’t do it now. Also sometimes when I put them around my neck or put them down, they automatically quit playing but often I have to put them in folded up position to turn them off although using middle button on right cup also seems to work. I don’t find (as some users have) that the phones are super sensitive to how they’re folded to be turned off so I like that. As long as they’re folded, they turn off. Wireless reach - I forgot to mention that when I listened to vinyl last night, the stereo is on second floor and I was in living room and I had no loss of signal so that was good. Loudness - phones do get plenty loud (certainly loud enough). Do I wish they got a bit louder? Sure, but they get quite loud for wireless headphones and it’s probably a good thing for my hearing they don’t get louder. Another Update: I don’t really use headphones for phone calls so can’t comment on that. Case - I actually like it. Much better than no case (I had to order a third party for my B&O headphones) or just a cloth bag. I know some would prefer a harder outer shell to the case and are worried their headphones will get damaged in their bag through the case, but it’s not like I’m gonna be packing ginsu knives in my totes or duffels. The cloth case will actually help it take up less room in my bag. I also like the inner pouch to hold the charging cable and cord for wired listening. I agree the equalizer could be a little more well designed (I actually like the equalizer on the B&O app), but I’m having more fun playing with it.",5
"I love Sennheiser's sound! I had a pair of HD380 pro headphones from Sennheiser that I loved. My daughter broke them so I used it as an opportunity to switch to a wireless pair. I listened to the Aiwa arc-1, Bose QC 35, Bose 700, Jabra Elite 85, Sennheiser Momentum 2, Sennheiser Momentum 3 and Beats Studio 3 headphones. They all sound good but the cleanest and most accurate sound AND feeling (yes, your bass should produce a physical sensation) is the Sennheiser Momentum 3. I originally purchased the Momentum 2 headphones but the ear cups were a little to small for me and it felt like my ear was to close to the speaker. The Momentum 3 has larger ear cups and more padding. I have had no issues with connectivity and the sound is amazing. Noise cancellation is ok, which is not the reason I buy headphones at this price. If you want a great sound that you can tweak even more with their app, I'd recommend the Sennheiser Momentum 3.",5
"So I really wanted these to be amazing for the $350 price tag. Overall they're a beautiful product, here are my thoughts. Look: They look awesome and have a really cool style to them. Feel: Very comfortable, the cushions don't put too much pressure on your ears or the top of your head. Your entire ear will fit in the cushion which was a huge selling feature for me. Music: These things rock when it comes to sound Battery: Battery life sucks of these... The advertised hours are a joke, you'll be lucky if you get 4 hours before they die on you. Charging: You have to fold them for them to charge, which is annoying if you have a headphone stand or under desk hanger. USB-C: The USB-C charger was a great feature Bluetooth: Yeah the bluetooth would get super confused when connected to two devices, which they advertise as a feature. It's just not smart enough yet there. ANC: Not great, and honestly very upsetting. Depending on how you move your head the ANC changed... and it didn't do much. Power-On/Off: So you can't leave them unfolded if you want them to power off and charge, you need to fold them up for that to work, and like i said before, it's very annoying. The engineers try too hard to be ""progressive"" with their tech, without regular people testing the product first. Final thoughts: I decided to go with the Sony WH-1000XM4 ANC which were $299 and were almost perfect in every category but a handful: Style was 'eh' and the cushions are pleather and small, so they put pressure on your ear and make you sweat. For someone who wears glasses the Sony's were very uncomfortable for long term use. However the battery life and literally every other feature was UNREAL. I would wear the sonys for 14 hours straight and still have battery left over for the next day. After Apple announced their new AirPod Max (over-ear ANC headphones) I decided to try them out. Turns out they are EVEN BETTER than the Sony. Ears fir inside the cushion, cushion is fabric and you don't sweat, the ANC is actually much better, and the bluetooth easily connected between my apple iphone and macbook. The price was steep, and the weird purse thing is a joke, but if you can get past that I have to say I was really impressed with the Apple product so they made the cut and are now my final choice.",3
"I got these to use for zoom meetings in a WFH situation. They sound great, as expected in this category. The personal taste is going to be up to the individual, so I won’t go into it. The noise cancellation is acceptable, again it’s going to be a preference thing. There are three levels plus off. I use them on the lowest level mostly, and that helps block clarinet practice upstairs. I wish there was a setting that actually could make my children quiet for a time... The battery lasts longer than I can stand to wear them comfortably which is 4-5 hours. I haven’t had them go below 60%. The main reason I got them is that I have huge ears. The soft, real leather, ear pads are big enough for my freakishly large ears to fit in if I’m really careful. I have tried Beyerdynamic Lagoons, and the B&W px7, neither of them have leather pads or anything like the space. Another plus over the others are physical buttons and a switch. I just have to feel for the bum on the button to pause music or answer a call. The downsides are relatively minor for me but I will spell them out: 1) they have the ability to connect to two devices simultaneously, but I have them paired up with three. The automated voice calls any Bluetooth connection a phone. There is no way to specifically label the voice prompt computer or tablet, everything is a phone. I can never tell which device is “ phone 1” or “phone 2”. 2)The headphones have an on/off feature that happens when you fold and unfold them. It would be fine if you always folded them up when you are done, but if you put them on a stand or hook it won’t turn off. They do have an alternate method to turn them off, but it is the multi-purpose button that you use to start and stop. I am concerned that holding this button for 5 seconds will wear it out sooner than I would prefer. No direct evidence, but that’s my experience. I will update this if something changes.",5
"This headset doesn't work with any of my devices despite saying it's compatible. I can't recommend it at all. The noise cancellation, sound quality and battery life on these are amazing, if only they would actually connect and stay connected to anything. Despite weeks of trouble shooting, buying extra dongles for bluetooth they will not connect to my PC, they barely stay connected to my phone constantly cutting in and out when walking. I've currently resigned myself to just plugging them into my PC which allows the headphones to work but not the mic which means I've got a second headset plugged in for the mic alone. I love them but I also hate them.",1
"I use them for daily commute and listening on my iPhone. Noise canceling is acceptable when riding on the bus, it has 3 settings. I like physical buttons, less confusing to use. I returned first pair because disconnecting too often for no reason or just after a simple head movement. Sound on first pair was superb,  outstanding sub lows And clarity of sounds, well defined, rich but not overpowering. Soundstage feeling pretty amazing. It reminded me the sound from HD 800. Replacement set so far doesn’t disconnect. However sound is not as top notch as first pair, diminished sub lows, tested with same music and equalizer settings and volume. I even compared both sets before returning first set(if it wouldn’t disconnect so much I would have kept first one) that low rumbling low base that spreads around with enough force to feel it but subtle at same time and extremely hard to reproduce with regular speakers/headphones is almost non existing on the second pair. I’m considering returning it and buying another brand or maybe trying my luck with a third set? Pros: Great sound quality, materials, look and feeling. Clamping force is just enough to hold them in place without squishing my ears/head. I don’t feel them at all even after wearing them for hours.  Noise canceling can be turned of and on. They are not a huge size. Balanced sound doesn’t cause fatigue after prolonged use. Ear pads are made of leather and foam , plush and very comfortable. Cons: no lock on sliders to adjust and keep size. Don’t fold flat. No power button to turn them off(they turn off by folding them of pressing volume button for several seconds) Variable quality of manufacturing, comparing both I had one with more sub lows and beautiful sound than the other) phone Application need improvement, disconnect after every single action taken even though it was just looking at options. Horrible. If you are a perfectionist would notice ear pads are not even made, With some improvements could be a great pair of headphones one of the top three! I still like the sound",4
"After a bunch of hours of research, I decided to drop the big bucks on the Momentum 3's (M3W) and was left tremendously impressed. Key points as to what I was looking for A: Good seal for travel when I'm on the train B: Best audio quality possible within a 400$ Budget C: Minimum of 15 hours battery life. The 7 hours I got used to from my backbeat 3100's (Good audio quality but trash connectivity) D: Does not look objectively ugly E: Ideally metal construction to last longer (Plastic ATH M50's snapped for no reason after 5 years) Optional: Connection to more than 1 Device The M3W's manage to have a super strong band and metal arms, great seal, excellent quality real leather ear cups, ability to connect to multiple devices, app with an equalizer so I can not get slapped by the heavy bass , best sound compared to the alternatives which keeps up with my DT 880 Premium's (In a quiet room cause these are open back) and to  top it all off is an average 20 hour battery life and they look fantastic in person. The main reason I chose the M3W's over the Alts is because the alts had a SOLID advantage in noise canceling (Data center and network engineers, keep your eyes on those WH-1000XM3's) but were lost in the sound quality category which was paramount for me since ANC was not a huge deal for my needs. I still came out very happy on the other end because the ANC on these are still VERY solid and I am now able to game in the living room with the AC full blast and be able to hear everything perfectly. Apparently there were issues with software but with the latest firmware available, I had almost zero issues.  I'd give these bad boys a 9/10 and  a super solid recommendation. NOTE: If you are bass sensitive like me, be ready to lower the bass on these and have an equalization app on windows at the ready but this is more a point of preference and not a determent. Alternative options: Sony WH-1000XM3's - Killer ANC, great sound, full plastic frame which is a negative to me after the arm of my ATH M50's snapped after 5 years. Now I only buy metal framed. Bose QuietComfort 35 II/QC35's -  Also a fantastic option but plastic and not a looker in my opinion. Amiron Wireless Copper's - The build quality and alcantara fabric used in the construction are utterly breath taking but beyerdynamic (My fav company after Audio Technica's build quality failed me) messed up one VERY important element. The seal is garbage and severely impacts the sound quality to the point where 1 song and I had to throw them in the box and return em. Maybe next time.",5
"Your browser does not support HTML5 video. Audio: The quality of the audio is good. When in comparison to other Noise Cancelling headphones, this headset has definitely got some better bass. Bluetooth: Major drawback in my headset. This headset is not able to take the phone calls. My momentum headset got paired to bluetooth and status on my phone shows that it got connected for audio and calls. When I make phone calls, the headset is not being used on calls. In the video you can see, the bluetooth headset is connected and when I try to connect on calls its disconnecting itself from calls with message ""call ..."". Very bad experience. Another drawback is range. I couldn't give exact numbers on distance between phone and headset but this headset didn't work similar to other headsets I have been using. An approx 10m is max. It breaks a lot. Design: It's an impressive design. I wear glasses and I got pain wearing these glasses for 40min. If you compare the comfort and fit, of HD series headphones with momentum, you will notice that momentum's design is lagging a lot. It looks good though. 4/5 on looks! But 1/5 on comfort and fit. A pouch is provided to pack your headphones. It resembles very much to my childhood lunch box. I like it though! Noise Cancellation: If you are a person who get headaches to noise cancellation, you can find this section of data useful. Noise Cancellation in these headphones are bit lighter compared to the competitors, however, I still got headache with these headphones. It has an option of transparent hearing which feels like relieving some pressure inside and allowing some outside sound, but I still got headache. So definitely a NO to me on these headphones.",2
"I have set of warn in HD580 so I can say the sound is nearly as good with emphasis in the base but the ""convenience"" features were a complete deal-breaker for me.  One, play-pause feature gets triggered by laying the unit on a table top...WHAT?  Off button is a soft button meaning a 2 second press of the play/pause button, irritating when the unit is half second slow in response time...this includes volume changes, Bluetooth request/cancellation, next-track and so on.  And the last straw, goes to maximum volume every-time I pause a video.  I know this is all maybe a firmware away to being solved but I'm tired of expensive things being stupid in the era of face-recognition smart phones.",3
"After several tries with multiple wireless earbuds including Beats Pros, Sennheiser TW2 and CX 400BT, I ended up here. These sound excellent for bluetooth and they are infinitely more functional compared to the earbuds, which tended to fall out in spite of the size options for earpieces. One caveat you might discover if you purchase: There seems to be a glitch in the Sennheiser app related to processes of the Smart Pause feature - I kept getting a lot of cut offs in the sound when moving around, even when turning my head. I turned off the Smart Pause in the app and the headphones have worked flawlessly since.  17 hrs per charge beats 7 hrs for the ear buds every time.",5
"Perhaps my expectations for this headphone was  just too high but I feel is that aside for an excellent sound, everything else, i. e. comfort, connectivity,  battery, and noise cancellation is below average. I have Sennheuser HD650 so I am very familiar with Sennheiser’s sound signature and Momentum 3 sound is excellent. However, comfort is bad, really bad. For someone who is bald like myself pressure on the top of the head is unbearable and a clamping force is too strong. Battery life is a joke, as I was able to get only 9 hours from a fully charged one playing at 50% volume. And noise cancellation is about as good as my old Bose QC25 wired headset which isn’t much by today’s standards. It feels like different teams worked on designing this pair and that sound team took lead and made everyone to do what they wanted, deliver excellent sound and all other teams had to sacrifice their details to achieve sound quality goal. So your #1 priority is a sound quality, those are headphones for you. As for me, they weren’t the one.",2
"Pros: Better call quality. Way better. Better noise cancelation. It’s not Bose 700 good, but it’s good enough for living next to a busy street in Manhattan. Neutral Range isn’t perceptively better than the Momentum 2 for me. If I go my bathroom 15 feet away in my studio apartment it starts cracking. I’m guessing it’s having trouble with the million other 2.4GHz devices nearby. Cons It has a USB-C charger but absolutely refuses to charge with any of my USB-C power bricks (Apple and Anker). So much for just taking just my laptop charger with me! Funnily enough, it will work if you use a USB-C to A adapter and back again. For that reason it charges slowly. The low battery life in class would be fine if it could at least charge quickly. It has a habit of continuing to play a “leftover tone” at a very low volume after playing some sound. It sounds like a very quiet tinnitus. This with a MacBook Pro. AAC mode does work with the MacBook Pro, but there’s very high latency. It makes YouTube videos look like poorly lip-synced dubs. This seems to resolve with periodic resetting of Bluetooth from the MBP side. I don’t know if this is an inherent issue with the codec or a hardware issue, but Sennheiser should just fall back to AptX here. Slightly superior sound quality is not worth how much delay there is. If you’re a competitive gamer, it would be unacceptable. It seems like a lot of these issues could be resolved. I wouldn’t purchase based on could, though.",3
"I break headphones, usually on the arm just over the cup, despite my best efforts not to (lift off both cups gently at the same time and only as far as I need to remove them). These will not have that problem, while I have concerns about the hinges in the long-term, it's an easier fix with a screwdriver than having to break out the Gorilla Glue. The battery life averaging 17 hours is a boon as these are not intended for extremely long sessions. The padding on the headband will be giving you a headache by the time you run the battery from full to empty in a session. You can use them as wired headphones as well while charging, which is a feature I've leaned on a few times to save my battery. The noise cancellation is pretty decent as well, my favorite feature is the Transparent Hearing, you will want to have it set to leave the music playing in the app, this way you can have a conversation with someone without losing all audio from whatever you might be doing, it's also helpful to keep yourself from speaking too loud when using the mic. Speaking of the mic is, it's alright. I'm just told I sound different, but I don't have many audiophile friends that can describe it other than, ""not bad, just different."" I used the app to drag the EQ a bit up and to the left to get the bit extra bass I like, it's simplified interface is something to get used to, I had a good idea what levels to move where when I find myself working with only a draggable button on a field. I was considering the Sony XM3s, while some aspects have me thinking the Sony's would be better, the build quality makes up for it, plus genuine leather. Sony may set the hardware standard, but on a flagship product, they couldn't care less if the cups breathe. Gotta keep it all in perspective. Leather.",5
A dozer operator I know wears these while working and convinced me to purchase them. I thought if he can hear them over that thing surely they will work on my tractor.  They are awesome. The noise canceling can’t quite take out a tractor at full throttle but It reduces it to a background noise. Anything less it eliminates. The sound is so rich and the controls are easy to operate. I love that you can either hit the switch to hear someone talking to you or just slide them down on your neck to pause playing. Very well thought out. Very sturdy also with the metal band. We are not in a gentle environment in the woods and they are totally indifferent to it. Literally the only negative I can think of is the hinge where you open and close them to turn on and off. It has bit me a time two so watch where the side of your fingers are.,5
"So while I would not consider myself an ""audiophile"". I do like a rich and vibrant sound. This headset while having what, I personally would call a poor battery life, as its closer to 10 hours at best. As to the noise cancellation, I had to  turn it off and on like 30 times to figure out if there was even a difference.  The off the head sleep mode, was annoying and I had to turn that off, if the headset was even a tad off your ear it would turn off. I can see moving it down to the neck doing to sleep but even pulling it away from your ear for more than a few seconds it would turn off. The redeeming feature, to me was the sound quality. The range was very surprising for me and their was a rich and great sound (at least to my ear) on the default settings for Low, Mid and High, so was great across the range. I did notice what many complain about the popping and crackling in Bluetooth mode. However, for me this only occurs when I have it linked to more than 1 Bluetooth device. So I find myself clearing the pairing list often, as I move it between devices. With the drawbacks, maybe it should really be a 3 star. But I was impressed with the sound quality to feel it deserved less than a 4.",4
"Bought these to upgrade from my Sennheiser Momentum 2 headphones that I purchased a few years ago. YES these are worth the extra $$$ to upgrade. Observations Sound quality is significantly improved over the Momentum 2's.  Hard to describe but it is richer, the background sounds in the recording come out and FLAC audio plays beautifully on them. The smart application is a little buggy but not worth taking a point off.  having to delete and re-add is a little annoying. Firmware update process for the headphones was painless however. Transparent hearing is a nice new feature.  Keeps ANC (active noise cancellation) active but mid range sounds (voice) transmits through.  Also a plus when singing as your own voice comes through loud and clear. The EQ is interesting.  Jury is still out on full benefits but you can definitely hear differences as you adjust realtime. Verdict?  Indulge your ears and buy them.",5
"The Sennheiser Momentum 3's are above average in most categories, and the best in one (my opinion). Noise canceling is pretty good, though nowhere near the Sony XM4, Bose NC 700 and AirPods Max.  They also fall short of the B&W PX7's.  However, for me, they do knock out enough of the noise that it is acceptable.  It is not adjustable, but you can select a couple different noise canceling modes through the app. Comfort - The ear cups are leather and very comfortable.  They do not heat up and I barely notice they are there.  The headband, however, is noticeable to me.  Not painfully so, but I do have to adjust every so often. Controls - The buttons work pretty well.  I wish the center media button was a little more pronounced as I sometimes hit the volume up or down buttons when I mean to do something else.  The B&W PX7's and AirPods Max have the better pushbutton controls (love the Max crown), while the Sony X4 and Bose NC 700 use more of the touch controls (this can be good and bad). Transparency Mode - This works really well, though I wish it automatically reduced the audio volume slightly if you have it set to continue playing.  You can also set it up in the app to mute the music when you put it into transparency mode, but for some reason it does not pause the music like the MTW2 earbuds do.  So you put it into transparency mode, have a conversation, come back to the music and a new song may be playing.  Not a big deal but a little annoying.  AirPods Max still takes the cake for transparency mode.  Sony XM4 ambient mode works well, but it always seems to lose my setting every so often and I have to go into the app and adjust.  The Bose NC 700 is really nice with adjustable noise canceling as well as going all the way to transparency mode. Battery - Battery life is not great, but sufficient for my use.  I feel like battery life should be at least 20 hours these days, with ANC on.  Bose NC 700 and AirPods Max hit it right on. Sony and B&W PX7 blow past it.  My use with these headphones tends to be a few hours at a time and mostly in my house, so it is not an issue.  However, I certainly hope that the Momentum 4's address this issue whenever they come out. Connections - Pairing between two devices is easy, reliable and it will switch between the sources very quickly. App - The app is just ok.  It always seems to take a couple tries to connect when I open it.  Sony is more reliable.  Bose is even more reliable and faster.  I do like the EQ and being able to tweak the sound, though I do tend to listen in Neutral.  You can also change noise canceling levels between Max, Anti-Wind and Anti-Pressure.  My biggest complaint about this is that I have to go into the app to do it. You can turn off the noise canceling by pushing a button on the headphones, but you cannot switch between modes without opening the app. Call quality - I am told that call quality is pretty good.  People can understand me clearly and I can hear them very well.  Better than the Sony XM4.  Much better than the B&W PX7.  Not as good as the Bose NC 700 or the AirPods Max (and Airpods Pro for that matter) As I said, the Momentum 3's do all of the above very well, but there is usually one other headset that can do it better (though not always the same one).  What does it do best?  Sound.  These things sound awesome!  I know this is very subjective, but to me, the sound stage is wide, I can hear everything crisply and clearly, and the bass is noticeable but not overwhelming.  I am not an audiophile, but I do really enjoy these.",5
"So, you might be like me. You might see these and think - Hey, I love my Sennheiser 58x, 6xx, 800etc etc, so why not get that nice Sennheiser sound in some ANC cans? Reviews seem fairly positive. Let's try 'em. I turned on my typical test tracks and was assaulted by a molasses flood of boomy, blooming, soggy bass. It was like listening to music underwater, with the volume turned to 11. And I'm a bass-head. I own several headphones famous for bass, and I bass boost them. No, this is something different. Doesn't even sound like music. It's just an offensive mess. I set the  EQ to -5 bass (maximum) and it made the mess quieter, but no less messy. Do you remember sitting at a stop light back in 2010 or so listening to that beat up car rattling and going wubbawubbawubbawuba all mess and no music? Well, if you're nostalgic for that, you're in luck. On to my third complaint about bass: It's small. Some headphones have an impressive high resolution ""wall of sound"" where you are enveloped. Not these, it's like two tiny horrible sounding subwoofers that don't even blend to the music. The mids? Not bad actually. A bit recessed. Outside of the bass bleed, they sound fairly average. And highs? A bit harsh while still being laid back. A -5,+2,+3 eq made the headphones listenable, but not good. No EQ setting could save this mess. Look - if you listen to Beats headphones and think they're wonderful, you might like these. IF you listen to literally any quality headphones (audeze, other sennheisers, etymotic, even koss) you're going to have a bad time. And the soundstage? It's weird. It's not placed correctly, and frequencies don't blend right. What about ANC? Well, it's passable. The transparency mode works OK if the music isn't playing. Usage? You have to fold them to shut them down. While I like that folding shuts them down, they need another way. I store headphones on hooks and don't want to adjust them every time. Comfort? Pretty solid, actually. But there's plenty of  comfortable cans that actually sound good. Battery life? Well, I don't know. I've tried many, many headphones. These are the only ones I straight up couldn't stand to listen to. They are /offensively bad./ What the heck, Sennheiser?",2
"I had a pair of M2 for several years, and loved them to death. Travelled in all climates, situations, several countries, across oceans, in bed, playing games, yada yada yada. They recently broke so I ordered a new pair on Amazon alongside the newer M3, so I have been A/Bing these for several hours, with all types of music, from Bob Dylan to Hiatus Kaiyote, Black Thought to Rage Against the Machine. They both trade blows in different types of music. I feel like metal, hard rock, and faster genres favor the M2. When I listened to ""Killing In The Name"" by Rage Against The Machine, the mids on the M3 felt distant and recessed, almost veiled, whereas the M2 is right in your face and the decay on the instruments is much quicker. Zach's ferocious vocals are much more impactful on the M2, whereas on the M3 they feel like he's further away and the band drowns him out....not what I want for a band like Rage. In hip-hop, like Skepta's ""No Sleep"" the bass feels a bit overly boosted and bloated. It's punchy, but it does sound artificially inflated, whereas with the M2, it's much more neutral and presents the entire spectrum more evenly. I haven't really done much with Sennheiser's EQ in their app, because I never EQ my headphones, but it may be worth a try to even them out a bit. In male and female vocals, both headphones have similarly milky smooth and luscious presentations. In Fiona Apple's ""I Want You to Love Me"" the M3 really shine with the piano in the foreground, while keeping her vocals up close and personal. However, the boosted sub bass can make the strings sound a bit too bloated for my taste. Whereas with the M2, her beautiful vocals are clearer and not muddied by the bloated sub bass. The piano keys are sharper, crisper, and more sparkly. But once the drums come in, the M3 wins. The impact from the larger drivers, you can feel in your bones, it's visceral. The drums on the M2 are just in your head. All in all, it has been an extremely tough decision for me. $355 for the M3 (tax included) and about $185 for the replacement M2. Both are excellent headphones in their own right. The lower battery life of the M3 may cause issues, however I have not had the chance to test that. The one feature I care about is the fact that music pauses on the M3 when they are taken off your head. The M3 seem to have more of a wow factor at times, whereas the M2 are a solid all arounder that is more neutral and will not satiate the modern basshead. If you love visceral bass, you need to choose the M3. I wish Sennheiser kept the physical styling of the M2, because the plastic cups and band style I think are hideous on the M3. They just feel like they won't hold up to the rigors of travel. I stuffed my M2 deep into some very tightly packed bags, tossed them around, wore them in the snow, among many other situations, and they tanked everything. I don't know if I will be able to do the same with the M3. They feel like more of a competitor to the yuppie Bose offerings, which is not something I like. EDIT: Ended up returning them and will keep the M2 for now. The fact that auto pause is triggered by slightly tilting your head to the right with the M3 is a HUGE deal breaker. They sound great, but not great enough to get past that annoying feature.",4
"Currently I own a pair of Sennheiser HD 600 (wired), open ear state of the art headphones. These closed ear Momentum 3's are darn close and without the wires. After playing an SACD, the sound truly kicked in despite Bluetooth compression (nothing beats wired).  Quite satisfied. Super comfortable. You can walk around the house and not realize they are on. They easily paired with my LG Stylo 2 as well as a high end windows PC and WIndows Tablet, etc. The user interface is quite simple just don't use the finger slide EQ, there's an option to toggle this Off for actual sliders. You can save presets as well. In case you're wondering, the hard wired 2.5-3.5mm cable is for those that don't have BlueTooth such a an old Ipod.  3 Modes for power: Overhead is ""On"", collapsed around your neck is Standby and folder is Off unlike the Bose NC 700 where you have to find that little tiny power button. Only downsides I can find are the Noise Cancellation, its fair - not great not bad (Bose wins here) and also the pairing of only 2 Devices, Bose NC 700 wins here as well, they can do 8. The case is a soft shell vs. Bose clam hard shell. I can live with all of those. Upside: Powering options as above, comfort supreme, lightweight (1.4 ounces heavier than Bose - barely noticeable difference we tested both), good support team, high quality hardware, 8.5 to 9 out of 10 rating.",5
"Consistent dropouts from bluetooth connection when sitting in front of television approx. 12 feet away. No discernible reason.  Dropouts while listening to music as well if I turn my head or move in the ""wrong"" direction. Very disappointed in bluetooth inconsistency because this is a pricey pair of cans. I usually end up using my Bose on-ear wireless for television watching. A shame, and I am contemplating selling the Momentums since I bought them for their wireless capability.  BUT, to give credit where it's due:  the sound quality is pure Sennheiser and I notice no difference in the sound quality from my wired Senns (58x Jubilees), in fact, the Momentum 3's may be a tad richer. Your call.",2
